Origin,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,YearAmt,year
Surinam,Surinam,Caribbean,35,38,30,31,65,41,30,46,62,47,23,32,480,2011
India,India,Rest of World,67,71,107,117,151,188,93,85,130,66,139,116,1330,2011
Pakistan,Pakistan,Rest of World,0,1,0,1,2,11,2,0,2,3,10,0,32,2011
Japan,Japan,Rest of World,136,227,266,181,123,180,170,105,116,131,178,214,2027,2011
China,China,Rest of World,104,118,171,136,145,133,141,163,179,111,144,158,1703,2011
Taiwan,Taiwan,Rest of World,2,1,26,11,8,8,1,4,1,4,2,6,74,2011
Korea,Korea,Rest of World,47,31,28,30,46,28,45,70,49,30,34,39,477,2011
Philippines,Philippines,Rest of World,18,31,25,22,64,12,31,24,29,18,25,24,323,2011
Singapore,Singapore,Rest of World,11,4,16,6,10,15,7,11,4,1,5,11,101,2011
Other Asia,Other Asia,Rest of World,22,20,49,22,60,31,53,65,42,27,28,36,455,2011
African Countries,African Countries,Africa,85,69,81,97,171,138,116,83,82,78,74,126,1200,2011
Israel,Israel,Rest of World,62,45,35,56,28,23,72,58,49,86,49,34,597,2011
Saudi Arabia,Saudi Arabia,Rest of World,4,1,2,4,1,4,2,2,0,0,12,4,36,2011
Turkey,Turkey,Rest of World,8,8,9,7,15,6,8,8,13,7,13,5,107,2011
Other Middle East,Other Middle East,Rest of World,53,31,34,48,49,56,107,89,29,22,38,57,613,2011
Australia,Australia,Rest of World,187,127,148,150,155,195,193,147,198,166,178,196,2040,2011
New Zealand,New Zealand,Rest of World,24,20,13,22,23,23,19,17,10,21,21,16,229,2011
All Other Ctries,All Other Ctries,Rest of World,3,0,0,4,13,0,11,3,4,3,8,6,55,2011
