Origin,Country,Continent,January,February,March,April,May,June,July,August,September,October,November,December,YearAmt,year
Sweden,Sweden,Europe,188,232,137,134,124,113,82,43,49,106,143,256,1607,2011
Greece,Greece,Europe,38,15,19,16,15,21,16,37,15,22,31,28,273,2011
Italy,Italy,Europe,1674,1253,1205,818,593,551,820,1634,359,608,894,1291,11700,2011
Portugal,Portugal,Europe,385,178,435,363,443,465,755,1326,269,27,20,20,4686,2011
Spain,Spain,Europe,169,135,174,159,141,1385,1316,1966,893,161,198,136,6833,2011
Austria,Austria,Europe,319,317,225,198,127,104,222,117,80,129,368,339,2545,2011
Belgium,Belgium,Europe,356,363,507,607,364,453,509,306,388,378,555,490,5276,2011
France,France,Europe,397,475,474,384,313,183,272,358,158,250,262,1222,4748,2011
Germany,Germany,Europe,1794,1706,2099,1884,1311,1422,1226,1455,1236,1243,2598,1965,19939,2011
Luxemburg,Luxemburg,Europe,22,11,28,22,15,5,13,39,6,5,22,24,212,2011
Netherlands,Netherlands,Europe,536,519,629,483,658,660,684,580,690,516,615,630,7200,2011
Switzerland,Switzerland,Europe,276,310,266,291,253,128,369,156,111,172,354,473,3159,2011
Czechoslovakia,Czechoslovakia,Europe,107,76,222,44,27,62,24,10,34,42,80,44,772,2011
Hungary,Hungary,Europe,77,37,20,33,6,17,14,4,13,14,17,34,286,2011
Poland,Poland,Europe,201,166,209,91,57,77,127,68,69,101,134,143,1443,2011
Russia,Russia,Europe,284,126,124,140,174,130,100,124,149,155,233,237,1976,2011
Ukraine,Ukraine,Europe,80,26,25,43,33,19,42,22,20,11,45,50,416,2011
Other Europe,Other Europe,Europe,223,181,197,153,125,124,119,78,92,124,244,195,1855,2011
Mexico,Mexico,Central America,180,159,149,182,140,174,236,168,198,161,195,182,2124,2011
Belize,Belize,Central America,48,25,52,31,34,36,147,46,52,39,51,51,612,2011
Costa Rica,Costa Rica,Central America,81,99,50,56,80,60,77,47,73,83,67,73,846,2011
El Salvador,El Salvador,Central America,17,41,15,11,15,8,16,8,5,13,13,12,174,2011
Guatemala,Guatemala,Central America,57,67,35,42,55,32,62,23,29,30,31,38,501,2011
Honduras,Honduras,Central America,25,41,14,16,38,12,9,6,12,13,8,9,203,2011
Nicaragua,Nicaragua,Central America,16,6,4,35,11,4,3,1,7,7,6,2,102,2011
Panama,Panama,Central America,94,129,72,74,105,107,134,79,104,103,84,132,1217,2011
Argentina,Argentina,Latin America,338,171,218,178,205,122,227,147,129,94,178,161,2168,2011
Bolivia,Bolivia,Latin America,17,4,8,1,4,6,8,3,1,1,2,1,56,2011
Brazil,Brazil,Latin America,156,79,161,122,148,88,193,121,123,115,125,166,1597,2011
Chile,Chile,Latin America,55,120,58,42,54,65,91,87,173,110,56,112,1023,2011
Colombia,Colombia,Latin America,133,48,87,125,87,116,73,72,98,298,131,221,1489,2011
Ecuador,Ecuador,Latin America,24,13,14,16,18,16,321,1957,26,167,285,122,2979,2011
Paraguay,Paraguay,Latin America,26,3,1,2,3,1,3,1,2,6,3,7,58,2011
Peru,Peru,Latin America,33,16,31,65,46,15,103,27,27,36,46,40,485,2011
Uruguay,Uruguay,Latin America,1,13,18,22,11,12,25,21,11,18,8,8,168,2011
Venezuela,Venezuela,Latin America,71,37,109,44,76,54,69,60,91,55,43,50,759,2011
Other South America,Other South America,Latin America,0,2,0,6,3,1,4,4,0,1,5,2,28,2011
Antigua,Antigua,Caribbean,155,97,151,179,176,225,327,263,184,159,145,229,2290,2011
